id,lon,lat,name
210,-80.0,26.5,wind_rose_W-80.00_N26.50.png
211,-80.25,25.25,wind_rose_W-80.25_N25.25.png
212,-80.0,26.25,wind_rose_W-80.00_N26.25.png
213,-80.0,26.0,wind_rose_W-80.00_N26.00.png
214,-78.25,34.0,wind_rose_W-78.25_N34.00.png
215,-78.0,34.0,wind_rose_W-78.00_N34.00.png
216,-78.0,33.75,wind_rose_W-78.00_N33.75.png
217,-77.0,38.25,wind_rose_W-77.00_N38.25.png
218,-77.75,34.25,wind_rose_W-77.75_N34.25.png
219,-77.5,34.5,wind_rose_W-77.50_N34.50.png
220,-76.75,38.25,wind_rose_W-76.75_N38.25.png
221,-76.5,39.25,wind_rose_W-76.50_N39.25.png
222,-76.5,39.0,wind_rose_W-76.50_N39.00.png
223,-76.5,38.75,wind_rose_W-76.50_N38.75.png
224,-77.25,34.75,wind_rose_W-77.25_N34.75.png
225,-76.5,38.5,wind_rose_W-76.50_N38.50.png
226,-77.25,34.5,wind_rose_W-77.25_N34.50.png
227,-76.75,37.0,wind_rose_W-76.75_N37.00.png
228,-76.5,38.25,wind_rose_W-76.50_N38.25.png
229,-76.25,39.5,wind_rose_W-76.25_N39.50.png
230,-76.5,38.0,wind_rose_W-76.50_N38.00.png
231,-76.25,39.25,wind_rose_W-76.25_N39.25.png
232,-76.25,39.0,wind_rose_W-76.25_N39.00.png
233,-76.25,38.75,wind_rose_W-76.25_N38.75.png
234,-77.0,34.75,wind_rose_W-77.00_N34.75.png
235,-76.5,37.25,wind_rose_W-76.50_N37.25.png
236,-76.25,38.5,wind_rose_W-76.25_N38.50.png
237,-76.5,37.0,wind_rose_W-76.50_N37.00.png
238,-76.25,38.25,wind_rose_W-76.25_N38.25.png
239,-76.0,39.5,wind_rose_W-76.00_N39.50.png
240,-76.25,38.0,wind_rose_W-76.25_N38.00.png
241,-76.0,39.25,wind_rose_W-76.00_N39.25.png
242,-76.25,37.75,wind_rose_W-76.25_N37.75.png
243,-76.25,37.5,wind_rose_W-76.25_N37.50.png
244,-76.75,34.75,wind_rose_W-76.75_N34.75.png
245,-76.25,37.25,wind_rose_W-76.25_N37.25.png
246,-76.25,37.0,wind_rose_W-76.25_N37.00.png
247,-76.0,38.25,wind_rose_W-76.00_N38.25.png
248,-76.0,38.0,wind_rose_W-76.00_N38.00.png
249,-76.0,37.75,wind_rose_W-76.00_N37.75.png
250,-76.0,37.5,wind_rose_W-76.00_N37.50.png
251,-76.5,34.75,wind_rose_W-76.50_N34.75.png
252,-76.0,37.25,wind_rose_W-76.00_N37.25.png
253,-76.5,34.5,wind_rose_W-76.50_N34.50.png
254,-76.0,37.0,wind_rose_W-76.00_N37.00.png
255,-75.75,38.25,wind_rose_W-75.75_N38.25.png
256,-75.5,39.5,wind_rose_W-75.50_N39.50.png
257,-76.0,36.75,wind_rose_W-76.00_N36.75.png
258,-75.75,38.0,wind_rose_W-75.75_N38.00.png
259,-75.5,39.25,wind_rose_W-75.50_N39.25.png
260,-75.75,37.75,wind_rose_W-75.75_N37.75.png
261,-76.25,35.0,wind_rose_W-76.25_N35.00.png
262,-75.75,37.5,wind_rose_W-75.75_N37.50.png
263,-76.25,34.75,wind_rose_W-76.25_N34.75.png
264,-75.75,37.25,wind_rose_W-75.75_N37.25.png
265,-75.5,38.0,wind_rose_W-75.50_N38.00.png
266,-76.0,35.25,wind_rose_W-76.00_N35.25.png
267,-75.25,39.25,wind_rose_W-75.25_N39.25.png
268,-75.75,36.5,wind_rose_W-75.75_N36.50.png
269,-75.5,37.75,wind_rose_W-75.50_N37.75.png
270,-76.0,35.0,wind_rose_W-76.00_N35.00.png
271,-75.25,39.0,wind_rose_W-75.25_N39.00.png
272,-75.75,36.25,wind_rose_W-75.75_N36.25.png
273,-75.5,37.5,wind_rose_W-75.50_N37.50.png
274,-75.25,38.75,wind_rose_W-75.25_N38.75.png
275,-75.75,36.0,wind_rose_W-75.75_N36.00.png
276,-75.25,38.25,wind_rose_W-75.25_N38.25.png
277,-75.25,38.0,wind_rose_W-75.25_N38.00.png
278,-75.75,35.25,wind_rose_W-75.75_N35.25.png
279,-75.0,39.25,wind_rose_W-75.00_N39.25.png
280,-75.25,37.75,wind_rose_W-75.25_N37.75.png
281,-75.0,39.0,wind_rose_W-75.00_N39.00.png
282,-75.0,38.75,wind_rose_W-75.00_N38.75.png
283,-75.5,36.0,wind_rose_W-75.50_N36.00.png
284,-75.0,38.5,wind_rose_W-75.00_N38.50.png
285,-75.5,35.75,wind_rose_W-75.50_N35.75.png
286,-75.0,38.25,wind_rose_W-75.00_N38.25.png
287,-75.5,35.5,wind_rose_W-75.50_N35.50.png
288,-75.5,35.25,wind_rose_W-75.50_N35.25.png
289,-74.75,39.25,wind_rose_W-74.75_N39.25.png
290,-74.75,39.0,wind_rose_W-74.75_N39.00.png
291,-74.5,39.5,wind_rose_W-74.50_N39.50.png
292,-74.25,40.75,wind_rose_W-74.25_N40.75.png
293,-74.5,39.25,wind_rose_W-74.50_N39.25.png
294,-74.25,40.5,wind_rose_W-74.25_N40.50.png
295,-74.25,39.75,wind_rose_W-74.25_N39.75.png
296,-74.25,39.5,wind_rose_W-74.25_N39.50.png
297,-74.0,40.75,wind_rose_W-74.00_N40.75.png
298,-74.0,40.5,wind_rose_W-74.00_N40.50.png
299,-74.0,40.25,wind_rose_W-74.00_N40.25.png
300,-74.0,40.0,wind_rose_W-74.00_N40.00.png
301,-74.0,39.75,wind_rose_W-74.00_N39.75.png
302,-73.75,41.0,wind_rose_W-73.75_N41.00.png
303,-73.75,40.75,wind_rose_W-73.75_N40.75.png
304,-73.75,40.5,wind_rose_W-73.75_N40.50.png
305,-73.5,41.0,wind_rose_W-73.50_N41.00.png
306,-73.5,40.75,wind_rose_W-73.50_N40.75.png
307,-73.25,41.25,wind_rose_W-73.25_N41.25.png
308,-73.25,41.0,wind_rose_W-73.25_N41.00.png
309,-73.25,40.75,wind_rose_W-73.25_N40.75.png
310,-73.0,41.25,wind_rose_W-73.00_N41.25.png
311,-73.0,41.0,wind_rose_W-73.00_N41.00.png
312,-73.0,40.75,wind_rose_W-73.00_N40.75.png
313,-72.75,41.25,wind_rose_W-72.75_N41.25.png
314,-72.75,41.0,wind_rose_W-72.75_N41.00.png
315,-72.75,40.75,wind_rose_W-72.75_N40.75.png
316,-72.5,41.25,wind_rose_W-72.50_N41.25.png
317,-72.5,41.0,wind_rose_W-72.50_N41.00.png
318,-72.5,40.75,wind_rose_W-72.50_N40.75.png
319,-72.25,41.25,wind_rose_W-72.25_N41.25.png
320,-72.25,41.0,wind_rose_W-72.25_N41.00.png
321,-72.0,41.25,wind_rose_W-72.00_N41.25.png
